model,ece_mean,ece_std,nll_mean,nll_std,predictive_entropy_mean,predictive_entropy_std
P0,0.088850814644736598,0.050317091199743799,0.63079263260588048,0.28675554105076989,0.25611658161506051,0.078263774635079594
P2,0.108310165246653,0.053776547407336402,0.74428547145798807,0.36137261960701861,0.1977883544052019,0.077827878838938894
SUP_FT_128,0.064832980248405905,0.0446073353741889,0.49105298602953551,0.24311582740053911,0.25840803412720559,0.081638033094659501
T3A,0.1029500340867753,0.032295807572022703,0.50196255743503571,0.17331518576091581,0.73973219133913515,0.1333859292446119
