condition,count,mean,std,median,min,max,bootstrap
DISJOINT_NATURAL,32,0.80672580034984309,0.082038752132743697,0.81781282013514056,0.57651219110825269,0.92790797830776039,"{""ci95_lower"": 0.7771578615550454, ""ci95_upper"": 0.8332309936711558, ""mean_difference"": 0.8067258003498431, ""receiver_count"": 32, ""replicates"": 10000, ""rng_seed"": 20260903}"
FULL_RECEIVER_PARTITION,32,0.80995071641551086,0.081313559850555897,0.82029697990431516,0.58212735190706366,0.93129848090406875,"{""ci95_lower"": 0.7807226885917574, ""ci95_upper"": 0.8361487358249906, ""mean_difference"": 0.8099507164155109, ""receiver_count"": 32, ""replicates"": 10000, ""rng_seed"": 20260903}"
QUERY_COUPLED_CHUNK,32,0.80684767864453677,0.081039890647617394,0.81762792592522771,0.579706639125386,0.9267854476725792,"{""ci95_lower"": 0.7777130041876955, ""ci95_upper"": 0.8329794245301195, ""mean_difference"": 0.8068476786445368, ""receiver_count"": 32, ""replicates"": 10000, ""rng_seed"": 20260903}"
