condition,count,mean,std,median,min,max,bootstrap
NATURAL,32,0.79414933135174093,0.088368490213983006,0.81419067777075127,0.56312582756635754,0.91564215369676438,"{""ci95_lower"": 0.7622494428271657, ""ci95_upper"": 0.8226120451703159, ""mean_difference"": 0.7941493313517409, ""receiver_count"": 32, ""replicates"": 10000, ""rng_seed"": 20260903}"
NULL,32,0.7829463039742397,0.089077377348273798,0.7993658054478836,0.55754433189990826,0.90529691599126361,"{""ci95_lower"": 0.7508813500087032, ""ci95_upper"": 0.8117986983462381, ""mean_difference"": 0.7829463039742397, ""receiver_count"": 32, ""replicates"": 10000, ""rng_seed"": 20260903}"
SHUFFLED,32,0.78698743675467586,0.089426813638686806,0.80401330059021758,0.55644129160615341,0.91441281285121556,"{""ci95_lower"": 0.7547073945909409, ""ci95_upper"": 0.8160647480118322, ""mean_difference"": 0.7869874367546759, ""receiver_count"": 32, ""replicates"": 10000, ""rng_seed"": 20260903}"
