method,condition,count,mean,std,median,min,max
P2,SAME_CLASS_EXCLUDED_ORACLE,32,0.82591594549650704,0.079805292896537997,0.84514480798105718,0.59931705776662214,0.93776758135781602
P2,SAME_CLASS_ONLY_ORACLE,32,0.60844954100871007,0.084693179948050507,0.6043397391878178,0.37549849851677342,0.78085963245163081
P2,TRANSMITTER_PURE_ORACLE,32,0.76319308161662724,0.078520635437005604,0.77414246542408294,0.53516070720070474,0.89124354628376923
RX-NORM,SAME_CLASS_EXCLUDED_ORACLE,32,0.78434246379540584,0.081739052089141104,0.79474176790657292,0.55025258077045947,0.89526280390574065
RX-NORM,SAME_CLASS_ONLY_ORACLE,32,0.79360785909464215,0.092033310690663103,0.80476494157490408,0.55261522826317222,0.91858863808521962
RX-NORM,TRANSMITTER_PURE_ORACLE,32,0.78574804687985844,0.086653401745061406,0.79001457087492089,0.54466376663241012,0.9259731084433428
T3A,SAME_CLASS_EXCLUDED_ORACLE,32,0.33835209042245801,0.089199356620117506,0.33513839523860939,0.15443581769834269,0.47587316003041741
T3A,SAME_CLASS_ONLY_ORACLE,32,0.83547422175997854,0.087103548489129295,0.85519010512198645,0.57467812520968231,0.96998463173242722
T3A,TRANSMITTER_PURE_ORACLE,32,0.40574848730368412,0.094999637944517004,0.4130843307320452,0.19821872089760631,0.6116304269265691
