receiver,method,scope,budget,probability_variant,macro_f1,accuracy,balanced_accuracy,ece,adaptive_ece,nll,brier,mean_confidence,mean_correctness,confidence_accuracy_gap,entropy
1-20,P2_NULL,primary,128,raw,0.8027727189634417,0.8192636986301369,0.8191511161984668,0.0916468719843366,0.0911688163946701,0.6001154165500081,0.2689410930742642,0.9102260857023146,0.8192636986301369,0.0909623870721775,0.2455749281373049
1-20,P2_SHUFFLED,primary,128,raw,0.8265024692315555,0.8403253424657533,0.8402347757114734,0.0915159453759097,0.0914137311503035,0.5656483635323724,0.2444502199602014,0.9315925979265968,0.8403253424657533,0.0912672554608434,0.1851439496099437
1-20,RX_NORM,primary,128,raw,0.7784534949550995,0.8020547945205478,0.8020559359258167,0.1011371937924868,0.10119662434373,0.6642711422606256,0.3004978798493985,0.9029823960966036,0.8020547945205478,0.1009276015760555,0.2688009318410155
1-20,SAR_GN,primary,128,raw,0.8032490118529697,0.8202482876712329,0.8202713410695809,0.0731485782650439,0.0741548472364777,0.5730894717505279,0.2631092859126618,0.8930710430001867,0.8202482876712329,0.0728227553289536,0.3002551795644352
1-20,SAR_GN,primary,128,source_temperature,0.8032490118529697,0.8202482876712329,0.8202713410695809,0.038971758610035,0.0385406030844818,0.5114975663606274,0.2479166232123832,0.8302734088932769,0.8202482876712329,0.010025121222044,0.5091431418657123
1-20,SOURCE_NORM,primary,128,raw,0.7863713747605962,0.8079195205479452,0.8078941417394443,0.0939972495481576,0.094459529356291,0.6271705428569779,0.2872196372133292,0.9016655640625586,0.8079195205479452,0.0937460435146134,0.2712905029428177
1-20,SUP_FT_FULL_128,primary,128,raw,0.9482109793425972,0.9483304794520548,0.9483686295123036,0.0165858731286166,0.0147361699185551,0.1651366304873631,0.0787499937507249,0.9399427401055008,0.9483304794520548,-0.008387739346554,0.1877711457941581
1-20,SUP_FT_HEAD_128,primary,128,raw,0.8601875334798995,0.865111301369863,0.8651711728404734,0.038127118652712,0.0382128596816161,0.3842438639235165,0.1931607770032438,0.893620405039967,0.865111301369863,0.0285091036701039,0.3088360764590973
1-20,T3A,primary,128,raw,0.8400948522917862,0.8494434931506849,0.8494323499976252,0.1310964901000261,0.1299381551702749,0.5157972390953253,0.2396622581894116,0.7195053379804099,0.8494434931506849,-0.1299381551702749,0.8390670289234855
1-20,T3A,primary,128,source_temperature,0.8400948522917862,0.8494434931506849,0.8494323499976252,0.0374913688699732,0.0355104878352136,0.4310056237362336,0.2127814007811208,0.8316357703906354,0.8494434931506849,-0.0178077227600496,0.497231521371543
