protocol,seed,method,bounds,receiver_count,role,source_nll_after,source_nll_before,target_labels_used,temperature
receiver_loso_00,829,P0,"[0.05, 20]",3,source_validation,0.5332990058660627,0.6256767371030999,False,1.6738066050734828
receiver_loso_00,829,P2,"[0.05, 20]",3,source_validation,0.5516034237579189,0.7710542382892321,False,2.202919023208715
receiver_loso_00,829,T3A,"[0.05, 20]",3,source_validation,0.4607589426271428,0.5230764635477382,False,0.6475083136469069
receiver_loso_00,829,EMB_STD,"[0.05, 20]",3,source_validation,0.48826129048993466,0.6020913191497076,False,1.7967822624824101
receiver_loso_00,829,SAR_GN,"[0.05, 20]",3,source_validation,0.5332990058660627,0.6256767371030999,False,1.6738066050734828
receiver_loso_00,1829,P0,"[0.05, 20]",3,source_validation,0.5995700632980255,0.7335821050653618,False,1.8022931239194184
receiver_loso_00,1829,P2,"[0.05, 20]",3,source_validation,0.639588607502578,0.8119693433013982,False,1.9512171463121561
receiver_loso_00,1829,T3A,"[0.05, 20]",3,source_validation,0.5119213379631794,0.5532830902550417,False,0.7100120376722657
receiver_loso_00,1829,EMB_STD,"[0.05, 20]",3,source_validation,0.5828711980846716,0.7671419081175076,False,1.9813391486371197
receiver_loso_00,1829,SAR_GN,"[0.05, 20]",3,source_validation,0.5995700632980255,0.7335821050653618,False,1.8022931239194184
receiver_loso_00,2829,P0,"[0.05, 20]",3,source_validation,0.5471166392581787,0.6225160774926218,False,1.5779254451444051
receiver_loso_00,2829,P2,"[0.05, 20]",3,source_validation,0.5817421123965257,0.7044701874325326,False,1.7880942648595894
receiver_loso_00,2829,T3A,"[0.05, 20]",3,source_validation,0.4627231901049979,0.5014231687773876,False,0.7156247078483403
receiver_loso_00,2829,EMB_STD,"[0.05, 20]",3,source_validation,0.5205471651687348,0.6229708154244834,False,1.716258773417136
receiver_loso_00,2829,SAR_GN,"[0.05, 20]",3,source_validation,0.546990403865757,0.6223667806943398,False,1.5778241726776199
receiver_loso_00,3829,P0,"[0.05, 20]",3,source_validation,0.5561755397242059,0.6277593725294063,False,1.5772325018631888
receiver_loso_00,3829,P2,"[0.05, 20]",3,source_validation,0.5334125794571188,0.6012537545628911,False,1.5619907776922966
receiver_loso_00,3829,T3A,"[0.05, 20]",3,source_validation,0.503862647984363,0.5941803913982829,False,0.5959620637815409
receiver_loso_00,3829,EMB_STD,"[0.05, 20]",3,source_validation,0.5242213132118545,0.6346136733377473,False,1.7523541870461858
receiver_loso_00,3829,SAR_GN,"[0.05, 20]",3,source_validation,0.5561755397242059,0.6277593725294063,False,1.5772325018631888
receiver_loso_00,4829,P0,"[0.05, 20]",3,source_validation,0.45828526945734044,0.5242037514874816,False,1.6003839022356925
receiver_loso_00,4829,P2,"[0.05, 20]",3,source_validation,0.5471246635433576,0.6719969033697195,False,1.8031925361009473
receiver_loso_00,4829,T3A,"[0.05, 20]",3,source_validation,0.4036831967778635,0.4665963883428026,False,0.6443564720344505
receiver_loso_00,4829,EMB_STD,"[0.05, 20]",3,source_validation,0.42954379849308316,0.5248554676741328,False,1.7600153351649903
receiver_loso_00,4829,SAR_GN,"[0.05, 20]",3,source_validation,0.45828526945734044,0.5242037514874816,False,1.6003839022356925
receiver_loso_01,829,P0,"[0.05, 20]",3,source_validation,0.4124729241751945,0.4560962651768474,False,1.4840962125132582
receiver_loso_01,829,P2,"[0.05, 20]",3,source_validation,0.35847629394582414,0.45840960148578164,False,1.9336793196774578
receiver_loso_01,829,T3A,"[0.05, 20]",3,source_validation,0.36286077080389445,0.41395500374986804,False,0.6652016880657875
receiver_loso_01,829,EMB_STD,"[0.05, 20]",3,source_validation,0.3741093826918598,0.43028616856755114,False,1.575578888547977
receiver_loso_01,829,SAR_GN,"[0.05, 20]",3,source_validation,0.4124729241751945,0.4560962651768474,False,1.4840962125132582
receiver_loso_01,1829,P0,"[0.05, 20]",3,source_validation,0.37300192955768807,0.4137944411759138,False,1.4895725565032087
receiver_loso_01,1829,P2,"[0.05, 20]",3,source_validation,0.39199206096057915,0.4810689452667201,False,1.8314300799816092
receiver_loso_01,1829,T3A,"[0.05, 20]",3,source_validation,0.340884254332991,0.38412598427658756,False,0.6872532926504916
receiver_loso_01,1829,EMB_STD,"[0.05, 20]",3,source_validation,0.3705823785874374,0.4437111118843488,False,1.6746210620110156
receiver_loso_01,1829,SAR_GN,"[0.05, 20]",3,source_validation,0.37300192955768807,0.4137944411759138,False,1.4895725565032087
receiver_loso_01,2829,P0,"[0.05, 20]",3,source_validation,0.36164305077814,0.39001265610738606,False,1.389963580029349
receiver_loso_01,2829,P2,"[0.05, 20]",3,source_validation,0.40558091320910433,0.5588003786139065,False,2.1212242854067758
receiver_loso_01,2829,T3A,"[0.05, 20]",3,source_validation,0.330159526792234,0.38689768900506355,False,0.6535143927638525
receiver_loso_01,2829,EMB_STD,"[0.05, 20]",3,source_validation,0.3347601734387981,0.37563008568085504,False,1.4885556308215622
receiver_loso_01,2829,SAR_GN,"[0.05, 20]",3,source_validation,0.36164305077814,0.39001265610738606,False,1.389963580029349
receiver_loso_01,3829,P0,"[0.05, 20]",3,source_validation,0.42704781293369765,0.4980279960008372,False,1.6418730670843236
receiver_loso_01,3829,P2,"[0.05, 20]",3,source_validation,0.354449616833062,0.42371872872874744,False,1.6997378240466336
receiver_loso_01,3829,T3A,"[0.05, 20]",3,source_validation,0.3797408676946386,0.43146912593502734,False,0.6648992927982816
receiver_loso_01,3829,EMB_STD,"[0.05, 20]",3,source_validation,0.40788033851445515,0.5047227417048331,False,1.7796658725914756
receiver_loso_01,3829,SAR_GN,"[0.05, 20]",3,source_validation,0.42704781293369765,0.4980279960008372,False,1.6418730670843236
receiver_loso_01,4829,P0,"[0.05, 20]",3,source_validation,0.34875112925945,0.36537977438848085,False,1.2891800381713667
receiver_loso_01,4829,P2,"[0.05, 20]",3,source_validation,0.35254278313094783,0.44952451722547204,False,1.9179866531933556
receiver_loso_01,4829,T3A,"[0.05, 20]",3,source_validation,0.35007554416388814,0.42296384507879514,False,0.620266157328913
receiver_loso_01,4829,EMB_STD,"[0.05, 20]",3,source_validation,0.3573552195375426,0.3915937339717585,False,1.4275888064671705
receiver_loso_01,4829,SAR_GN,"[0.05, 20]",3,source_validation,0.3485868694165691,0.3651976607310416,False,1.2890621340195998
receiver_loso_02,829,P0,"[0.05, 20]",3,source_validation,0.5128111346403813,0.5586436744283209,False,1.440690920331412
